product_category_name_english,total_order,mean_review_score
agro_industry_and_commerce,182,4.0
air_conditioning,249,3.97
art,200,3.94
arts_and_craftmanship,23,4.12
audio,347,3.83
auto,3877,4.07
baby,2861,4.01
bed_bath_table,9313,3.9
books_general_interest,508,4.45
books_imported,53,4.4
books_technical,257,4.37
cds_dvds_musicals,12,4.64
christmas_supplies,126,4.02
cine_photo,65,4.21
computers,178,4.18
computers_accessories,6649,3.93
consoles_games,1052,4.02
construction_tools_construction,743,4.05
construction_tools_lights,241,4.05
construction_tools_safety,166,3.84
cool_stuff,3599,4.15
costruction_tools_garden,194,4.05
costruction_tools_tools,94,4.44
diapers_and_hygiene,27,3.26
drinks,296,4.05
dvds_blu_ray,58,4.08
electronics,2531,4.04
fashio_female_clothing,39,3.78
fashion_bags_accessories,1854,4.14
fashion_childrens_clothes,8,4.5
fashion_male_clothing,111,3.64
fashion_shoes,236,4.23
fashion_sport,27,4.26
fashion_underwear_beach,120,3.98
fixed_telephony,214,3.68
flowers,28,4.42
food,445,4.22
food_drink,226,4.32
furniture_bedroom,95,4.12
furniture_decor,6398,3.9
furniture_living_room,417,3.9
furniture_mattress_and_upholstery,38,3.82
garden_tools,3496,4.04
health_beauty,8771,4.14
home_appliances,761,4.17
home_appliances_2,232,4.14
home_comfort_2,23,3.63
home_confort,395,3.83
home_construction,487,3.94
housewares,5843,4.06
industry_commerce_and_business,233,4.1
kitchen_dining_laundry_garden_furniture,246,3.96
la_cuisine,12,4.0
luggage_accessories,1030,4.32
market_place,278,4.02
music,38,4.21
musical_instruments,622,4.15
office_furniture,1263,3.49
party_supplies,39,3.77
perfumery,3150,4.16
pet_shop,1701,4.19
security_and_services,2,2.5
signaling_and_security,138,4.09
small_appliances,624,4.15
small_appliances_home_oven_and_coffee,75,4.3
sports_leisure,7669,4.11
stationery,2295,4.19
tablets_printing_image,77,4.12
telephony,4168,3.95
toys,3853,4.16
watches_gifts,5576,4.02
